Date,sp500_Open_RDP1,sp500_High_RDP1,sp500_Low_RDP1,sp500_Close_RDP1,sp500_Adj Close_RDP1,sp500_Volume_RDP1,sp500_Open_RDP7,sp500_High_RDP7,sp500_Low_RDP7,sp500_Close_RDP7,sp500_Adj Close_RDP7,sp500_Volume_RDP7,sp500_Open_RDP30,sp500_High_RDP30,sp500_Low_RDP30,sp500_Close_RDP30,sp500_Adj Close_RDP30,sp500_Volume_RDP30
1/22/2018,0.002340617,0.008077326,0.003588189,0.008066727,0.008066727,-0.046064906,0.023168349,0.029893114,0.026337162,0.030834389,0.030834389,-0.029239308,0.069650878,0.075394538,0.069861936,0.077473956,0.077473956,0.075187365
1/19/2018,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
1/19/2018,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
1/19/2018,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
1/18/2018,0.006251337,-0.000431045,0.005103757,-0.00161639,-0.00161639,-0.025563452,0.021778042,0.020854961,0.020075964,0.018313457,0.018313457,0.135327587,0.054647942,0.052769274,0.058176689,0.06008475,0.06008475,-0.084928476
1/17/2018,-0.004991129,-0.000178092,0.003517969,0.009415052,0.009415052,-0.126658299,0.019646074,0.023178877,0.018497596,0.021657641,0.021657641,0.167282535,0.052886427,0.059012576,0.066343709,0.060683853,0.060683853,-0.041668358
1/16/2018,0.010389227,0.007062769,-0.000361058,-0.003524487,-0.003524487,0.210410272,0.029290482,0.02867046,0.018230433,0.019247476,0.019247476,0.170680818,0.062655436,0.056363696,0.051144094,0.048663247,0.048663247,-0.124029815
1/12/2018,0.006251416,0.007331382,0.006124668,0.006749603,0.006749603,-0.01849604,0.026810175,0.02707073,0.026640474,0.026973207,0.026973207,0.009978353,0.054174129,0.058051839,0.056985338,0.06099225,0.06099225,-0.123657522
1/12/2018,0.006251416,0.007331382,0.006124668,0.006749603,0.006749603,-0.01849604,0.026810175,0.02707073,0.026640474,0.026973207,0.026973207,0.009978353,0.054174129,0.058051839,0.056985338,0.06099225,0.06099225,-0.123657522
1/12/2018,0.006251416,0.007331382,0.006124668,0.006749603,0.006749603,-0.01849604,0.026810175,0.02707073,0.026640474,0.026973207,0.026973207,0.009978353,0.054174129,0.058051839,0.056985338,0.06099225,0.06099225,-0.123657522
1/12/2018,0.006251416,0.007331382,0.006124668,0.006749603,0.006749603,-0.01849604,0.026810175,0.02707073,0.026640474,0.026973207,0.026973207,0.009978353,0.054174129,0.058051839,0.056985338,0.06099225,0.06099225,-0.123657522
