"Date","Close","Open","High","Low","percentage"
"2018年2月22日","1.2322","1.2324","1.2340","1.2297","-0.04%"
"2018年2月21日","1.2327","1.2325","1.2328","1.2325","0.01%"
"2018年2月20日","1.2326","1.2322","1.2327","1.2321","0.03%"
"2018年2月19日","1.2322","1.2322","1.2324","1.2320","0.00%"
"2018年2月16日","1.2322","1.2320","1.2323","1.2318","0.02%"
"2018年2月15日","1.2320","1.2322","1.2324","1.2318","-0.02%"
"2018年2月14日","1.2323","1.2340","1.2365","1.2310","-0.11%"
"2018年2月13日","1.2337","1.2358","1.2380","1.2324","-0.17%"
"2018年2月12日","1.2358","1.2421","1.2445","1.2349","-0.47%"
"2018年2月9日","1.2416","1.2353","1.2427","1.2345","0.44%"
"2018年2月8日","1.2362","1.2471","1.2472","1.2324","-0.87%"
"2018年2月7日","1.2470","1.2452","1.2512","1.2451","0.21%"
"2018年2月6日","1.2444","1.2424","1.2473","1.2410","0.09%"
"2018年2月5日","1.2433","1.2414","1.2459","1.2406","0.17%"
"2018年2月2日","1.2412","1.2414","1.2481","1.2411","-0.01%"
"2018年2月1日","1.2413","1.2435","1.2442","1.2402","-0.21%"
"2018年1月31日","1.2439","1.2369","1.2454","1.2360","0.58%"
"2018年1月30日","1.2367","1.2335","1.2387","1.2330","0.25%"
"2018年1月29日","1.2336","1.2378","1.2381","1.2335","-0.27%"
"2018年1月26日","1.2369","1.2353","1.2389","1.2338","0.05%"
"2018年1月25日","1.2363","1.2273","1.2389","1.2270","0.73%"
"2018年1月24日","1.2274","1.2208","1.2291","1.2207","0.54%"
"2018年1月23日","1.2208","1.2211","1.2240","1.2191","0.01%"
"2018年1月22日","1.2207","1.2202","1.2223","1.2190","0.01%"
"2018年1月19日","1.2206","1.2180","1.2250","1.2179","0.25%"
"2018年1月18日","1.2175","1.2153","1.2180","1.2132","0.20%"
"2018年1月17日","1.2151","1.2134","1.2191","1.2133","0.09%"
"2018年1月16日","1.2140","1.2158","1.2192","1.2138","-0.12%"
"2018年1月15日","1.2154","1.2114","1.2196","1.2112","0.39%"
"2018年1月12日","1.2107","1.2043","1.2124","1.2043","0.52%"
"2018年1月11日","1.2044","1.2015","1.2050","1.1999","0.20%"
"2018年1月10日","1.2020","1.1976","1.2032","1.1966","0.35%"
"2018年1月9日","1.1978","1.2033","1.2044","1.1974","-0.45%"
"2018年1月8日","1.2032","1.2052","1.2081","1.2032","-0.15%"
"2018年1月5日","1.2050","1.2038","1.2073","1.2037","0.10%"
"2018年1月4日","1.2038","1.2020","1.2047","1.2010","0.15%"
"2018年1月3日","1.2020","1.2035","1.2039","1.2009","-0.12%"
"2018年1月2日","1.2035","1.2010","1.2047","1.2010","0.23%"
"2018年1月1日","1.2007","1.2007","1.2007","1.2007","0.00%"
"2017年12月29日","1.2007","1.1962","1.2015","1.1962","0.37%"
"2017年12月28日","1.1963","1.1912","1.1968","1.1911","0.43%"
"2017年12月27日","1.1912","1.1931","1.1942","1.1907","-0.18%"
"2017年12月26日","1.1934","1.1951","1.1963","1.1919","-0.15%"
