hsi_Open_RDP1,hsi_High_RDP1,hsi_Low_RDP1,hsi_Close_RDP1,hsi_Adj Close_RDP1,hsi_Volume_RDP1,hsi_Open_RDP7,hsi_High_RDP7,hsi_Low_RDP7,hsi_Close_RDP7,hsi_Adj Close_RDP7,hsi_Volume_RDP7,hsi_Open_RDP30,hsi_High_RDP30,hsi_Low_RDP30,hsi_Close_RDP30,hsi_Adj Close_RDP30,hsi_Volume_RDP30,sp500_Open_RDP1,sp500_High_RDP1,sp500_Low_RDP1,sp500_Close_RDP1,sp500_Adj Close_RDP1,sp500_Volume_RDP1,sp500_Open_RDP7,sp500_High_RDP7,sp500_Low_RDP7,sp500_Close_RDP7,sp500_Adj Close_RDP7,sp500_Volume_RDP7,sp500_Open_RDP30,sp500_High_RDP30,sp500_Low_RDP30,sp500_Close_RDP30,sp500_Adj Close_RDP30,sp500_Volume_RDP30
0.004193893,0.00503303,0.001902077,1,0.004294528,-0.009081349,0.038973211,0.041243805,0.035436738,0.040906284,0.040906284,0.604783408,0.118771538,0.120570849,0.136230266,0.147693137,0.147693137,0.105470704,0.002340617,0.008077326,0.003588189,0.008066727,0.008066727,-0.046064906,0.023168349,0.029893114,0.026337162,0.030834389,0.030834389,-0.029239308,0.069650878,0.075394538,0.069861936,0.077473956,0.077473956,0.075187365
-0.000195626,0.000653974,0.003649259,1,0.004138952,-0.223138385,0.036534914,0.031576496,0.034189087,0.03801186,0.03801186,0.119929799,0.112240119,0.107492947,0.109156941,0.118299533,0.118299533,1.019612906,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
-0.000195626,0.000653974,0.003649259,1,0.004138952,-0.223138385,0.036534914,0.031576496,0.034189087,0.03801186,0.03801186,0.119929799,0.112240119,0.107492947,0.109156941,0.118299533,0.118299533,1.019612906,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
-0.000195626,0.000653974,0.003649259,1,0.004138952,-0.223138385,0.036534914,0.031576496,0.034189087,0.03801186,0.03801186,0.119929799,0.112240119,0.107492947,0.109156941,0.118299533,0.118299533,1.019612906,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
-0.000195626,0.000653974,0.003649259,1,0.004138952,-0.223138385,0.036534914,0.031576496,0.034189087,0.03801186,0.03801186,0.119929799,0.112240119,0.107492947,0.109156941,0.118299533,0.118299533,1.019612906,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
-0.000195626,0.000653974,0.003649259,1,0.004138952,-0.223138385,0.036534914,0.031576496,0.034189087,0.03801186,0.03801186,0.119929799,0.112240119,0.107492947,0.109156941,0.118299533,0.118299533,1.019612906,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
-0.000195626,0.000653974,0.003649259,1,0.004138952,-0.223138385,0.036534914,0.031576496,0.034189087,0.03801186,0.03801186,0.119929799,0.112240119,0.107492947,0.109156941,0.118299533,0.118299533,1.019612906,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
-0.000195626,0.000653974,0.003649259,1,0.004138952,-0.223138385,0.036534914,0.031576496,0.034189087,0.03801186,0.03801186,0.119929799,0.112240119,0.107492947,0.109156941,0.118299533,0.118299533,1.019612906,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
-0.000195626,0.000653974,0.003649259,1,0.004138952,-0.223138385,0.036534914,0.031576496,0.034189087,0.03801186,0.03801186,0.119929799,0.112240119,0.107492947,0.109156941,0.118299533,0.118299533,1.019612906,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
-0.000195626,0.000653974,0.003649259,1,0.004138952,-0.223138385,0.036534914,0.031576496,0.034189087,0.03801186,0.03801186,0.119929799,0.112240119,0.107492947,0.109156941,0.118299533,0.118299533,1.019612906,7.14E-05,0.001603803,0.001976688,0.004385235,0.004385235,-0.011419352,0.018701342,0.01855295,0.018276029,0.021448124,0.021448124,0.053844238,0.061679408,0.061014418,0.064827855,0.068729859,0.068729859,0.02836645
