,feature,importance
21,sp500_Close_RDP1,0.0638567164261524
22,sp500_Adj Close_RDP1,0.05530854652350469
20,sp500_Low_RDP1,0.045471184560242496
19,sp500_High_RDP1,0.03702966258819183
29,sp500_Volume_RDP7,0.03348676504162013
35,sp500_Volume_RDP30,0.03161512487066455
18,sp500_Open_RDP1,0.029652191930401153
17,hsi_Volume_RDP30,0.029588590840935472
1,hsi_High_RDP1,0.02938826572838431
0,hsi_Open_RDP1,0.02927827924391984
2,hsi_Low_RDP1,0.029266109586808725
23,sp500_Volume_RDP1,0.02891250127863102
4,hsi_Adj Close_RDP1,0.027762059509347944
3,hsi_Close_RDP1,0.027068810197184802
11,hsi_Volume_RDP7,0.026422961839620646
24,sp500_Open_RDP7,0.026103933055526198
5,hsi_Volume_RDP1,0.025170325889408023
30,sp500_Open_RDP30,0.025110713354138017
25,sp500_High_RDP7,0.02502643928499269
6,hsi_Open_RDP7,0.024581382647438327
12,hsi_Open_RDP30,0.02452347511530908
28,sp500_Adj Close_RDP7,0.023414441048818877
7,hsi_High_RDP7,0.023366451911059644
27,sp500_Close_RDP7,0.023021612675541737
13,hsi_High_RDP30,0.022934676306848756
16,hsi_Adj Close_RDP30,0.022673196155917102
14,hsi_Low_RDP30,0.022456021283089562
10,hsi_Adj Close_RDP7,0.022348179634383694
26,sp500_Low_RDP7,0.021284867048749743
9,hsi_Close_RDP7,0.02117593744227414
8,hsi_Low_RDP7,0.021096744416579428
32,sp500_Low_RDP30,0.02066611960288345
34,sp500_Adj Close_RDP30,0.020461643854956572
15,hsi_Close_RDP30,0.020393680970183018
31,sp500_High_RDP30,0.020365185983839348
33,sp500_Close_RDP30,0.019717202152452745
