index,feature,importance_1,importance_2,importance_3,importance_4,importance_5,importance_6,importance_7,importance_8,importance_9,importance_10,importance_11,importance_12,avg,precision_1,recall_1,accuracy_1,f1_score_1,precision_2,recall_2,accuracy_2,f1_score_2,precision_3,recall_3,accuracy_3,f1_score_3,avg_precision,avg_recall,avg_accuracy,avg_f1_score
14,hsi_Low_RDP30,0.018614431,0.016587284,0.017201879,0.016587284,0.017135228,0.01775064,0.022474972,0.02302119,0.022768656,0.02302119,0.023208615,0.022456021,0.020068949,0.55123675,0.62650603,0.5608782,0.586466198,0.5152672,0.5421687,0.5189621,0.528375744,0.5531915,0.62650603,0.56287426,0.587570621,0.539898483,0.598393587,0.54757152,0.567470854
24,sp500_Open_RDP7,0.014603839,0.015238633,0.014570364,0.015238633,0.014800057,0.014693118,0.025644239,0.023292595,0.023663709,0.023292595,0.023978293,0.026103933,0.019593334,,,,,,,,,,,,,,,,
12,hsi_Open_RDP30,0.016444101,0.014029737,0.016202333,0.014029737,0.013333872,0.014124058,0.024993303,0.023358146,0.024289123,0.023358146,0.025667876,0.024523475,0.019529492,,,,,,,,,,,,,,,,
10,hsi_Adj Close_RDP7,0.015932179,0.016152987,0.016167477,0.016152987,0.015058792,0.015257339,0.023745907,0.024030518,0.021791458,0.024030518,0.022215528,0.02234818,0.019406989,,,,,,,,,,,,,,,,
6,hsi_Open_RDP7,0.012841931,0.01441758,0.013957342,0.01441758,0.014771004,0.015739871,0.025195969,0.023182497,0.024888642,0.023182497,0.023796699,0.024581383,0.019247749,,,,,,,,,,,,,,,,
7,hsi_High_RDP7,0.013555088,0.014842792,0.01431584,0.014842792,0.015279894,0.014753686,0.022044077,0.023462161,0.022762637,0.023462161,0.022599862,0.023366452,0.018773954,,,,,,,,,,,,,,,,
16,hsi_Adj Close_RDP30,0.016075938,0.01620871,0.016200417,0.01620871,0.016211553,0.014684364,0.021684217,0.021340938,0.020910066,0.021340938,0.019786574,0.022673196,0.018610468,,,,,,,,,,,,,,,,
34,sp500_Adj Close_RDP30,0.01585636,0.014735218,0.015003439,0.014735218,0.017582962,0.015973672,0.021432129,0.021592099,0.021761455,0.021592099,0.020220794,0.020461644,0.018412258,,,,,,,,,,,,,,,,
9,hsi_Close_RDP7,0.014746564,0.014824317,0.014387503,0.014824317,0.014291901,0.014149748,0.022513828,0.021595711,0.022874225,0.021595711,0.023541716,0.021175937,0.01837679,,,,,,,,,,,,,,,,
31,sp500_High_RDP30,0.012877364,0.013893539,0.013877747,0.013893539,0.015373632,0.015199413,0.023844733,0.022804964,0.0231597,0.022804964,0.022093283,0.020365186,0.018349005,,,,,,,,,,,,,,,,
26,sp500_Low_RDP7,0.015015952,0.014662779,0.014373934,0.014662779,0.013418727,0.013101252,0.022799193,0.021413544,0.022987229,0.021413544,0.022139955,0.021284867,0.018106146,,,,,,,,,,,,,,,,
5,hsi_Volume_RDP1,0.011064564,0.010334637,0.010264959,0.010334637,0.009768184,0.008980078,0.02658599,0.02415644,0.026505906,0.02415644,0.02782342,0.025170326,0.017928798,,,,,,,,,,,,,,,,
13,hsi_High_RDP30,0.013482022,0.012371404,0.012453232,0.012371404,0.010147796,0.010820395,0.020541691,0.021488264,0.02290154,0.021488264,0.023498094,0.022934676,0.017041565,,,,,,,,,,,,,,,,
32,sp500_Low_RDP30,0.011891793,0.012117693,0.012272979,0.012117693,0.013470507,0.013426209,0.021941798,0.019316046,0.020745829,0.019316046,0.022868083,0.02066612,0.016679233,,,,,,,,,,,,,,,,
8,hsi_Low_RDP7,0.010726921,0.011356867,0.011626131,0.011356867,0.011803874,0.011344571,0.022497208,0.022211519,0.021608879,0.022211519,0.02224513,0.021096744,0.016673853,,,,,,,,,,,,,,,,
