,feature,importance
21,sp500_Close_RDP1,0.1697172614345554
22,sp500_Adj Close_RDP1,0.15646422462823212
20,sp500_Low_RDP1,0.07647596179424129
19,sp500_High_RDP1,0.06092683451078984
29,sp500_Volume_RDP7,0.027824825413430624
17,hsi_Volume_RDP30,0.025982213103640656
25,sp500_High_RDP7,0.023262405956954623
18,sp500_Open_RDP1,0.02198344093196387
1,hsi_High_RDP1,0.021482882857681247
2,hsi_Low_RDP1,0.021008813348153597
30,sp500_Open_RDP30,0.02087434882689238
23,sp500_Volume_RDP1,0.01954730830293043
4,hsi_Adj Close_RDP1,0.019484741613328818
3,hsi_Close_RDP1,0.019176856190355824
27,sp500_Close_RDP7,0.018665525870310697
28,sp500_Adj Close_RDP7,0.017595290175966307
11,hsi_Volume_RDP7,0.01745192220087448
14,hsi_Low_RDP30,0.016587284420993328
16,hsi_Adj Close_RDP30,0.016208709628878364
10,hsi_Adj Close_RDP7,0.016152987029477605
24,sp500_Open_RDP7,0.015238632756321242
7,hsi_High_RDP7,0.01484279170681909
9,hsi_Close_RDP7,0.014824316500940952
34,sp500_Adj Close_RDP30,0.014735217717299744
26,sp500_Low_RDP7,0.01466277854662509
6,hsi_Open_RDP7,0.014417580418266922
12,hsi_Open_RDP30,0.014029737455682312
31,sp500_High_RDP30,0.013893538815291161
35,sp500_Volume_RDP30,0.0135027847234851
0,hsi_Open_RDP1,0.012701345594159528
13,hsi_High_RDP30,0.012371403704370065
32,sp500_Low_RDP30,0.012117692509275645
33,sp500_Close_RDP30,0.012106026023507722
15,hsi_Close_RDP30,0.011990810783192443
8,hsi_Low_RDP7,0.011356867158737826
5,hsi_Volume_RDP1,0.010334637346373542
