,feature,importance
21,sp500_Close_RDP1,0.06009947479219755
22,sp500_Adj Close_RDP1,0.054394608153600484
20,sp500_Low_RDP1,0.042127290158076584
19,sp500_High_RDP1,0.03595813030186434
29,sp500_Volume_RDP7,0.03421198314984299
35,sp500_Volume_RDP30,0.032509714273545834
17,hsi_Volume_RDP30,0.03145769021744337
1,hsi_High_RDP1,0.0296169445774239
0,hsi_Open_RDP1,0.029541447541183093
18,sp500_Open_RDP1,0.029506428985373135
23,sp500_Volume_RDP1,0.029339267166156303
11,hsi_Volume_RDP7,0.028093733607656383
2,hsi_Low_RDP1,0.02693880792384235
4,hsi_Adj Close_RDP1,0.026510460668452168
5,hsi_Volume_RDP1,0.02650590578597113
3,hsi_Close_RDP1,0.026252239340291163
25,sp500_High_RDP7,0.0253599957125841
6,hsi_Open_RDP7,0.024888642345524535
30,sp500_Open_RDP30,0.024338360328812998
12,hsi_Open_RDP30,0.02428912348541052
24,sp500_Open_RDP7,0.02366370887150933
27,sp500_Close_RDP7,0.023196924613414608
31,sp500_High_RDP30,0.023159699524914045
28,sp500_Adj Close_RDP7,0.023076519582957408
26,sp500_Low_RDP7,0.022987229176998844
13,hsi_High_RDP30,0.022901539727623484
9,hsi_Close_RDP7,0.022874225051803455
14,hsi_Low_RDP30,0.02276865647319204
7,hsi_High_RDP7,0.022762637039516597
15,hsi_Close_RDP30,0.02222902460547893
10,hsi_Adj Close_RDP7,0.021791458131364322
34,sp500_Adj Close_RDP30,0.021761455302729465
33,sp500_Close_RDP30,0.021621899954501794
8,hsi_Low_RDP7,0.021608878539097483
16,hsi_Adj Close_RDP30,0.020910065726654263
32,sp500_Low_RDP30,0.02074582916299098
