,feature,importance
21,sp500_Close_RDP1,0.061937285263573116
22,sp500_Adj Close_RDP1,0.05565050295910589
20,sp500_Low_RDP1,0.040955863830702474
19,sp500_High_RDP1,0.03625519474109906
17,hsi_Volume_RDP30,0.033999990748319504
35,sp500_Volume_RDP30,0.0329019350742275
29,sp500_Volume_RDP7,0.03211397894550567
18,sp500_Open_RDP1,0.029973719199871775
2,hsi_Low_RDP1,0.02991292187968653
23,sp500_Volume_RDP1,0.02944761480832167
1,hsi_High_RDP1,0.02850370724347643
4,hsi_Adj Close_RDP1,0.028188420669017885
0,hsi_Open_RDP1,0.027803337649555938
11,hsi_Volume_RDP7,0.02759737362814265
3,hsi_Close_RDP1,0.027419944359582366
25,sp500_High_RDP7,0.027119354175497327
30,sp500_Open_RDP30,0.026333258249643627
5,hsi_Volume_RDP1,0.024156439825738764
10,hsi_Adj Close_RDP7,0.024030517878901897
27,sp500_Close_RDP7,0.023863965733666385
7,hsi_High_RDP7,0.023462160766455086
12,hsi_Open_RDP30,0.02335814589232937
24,sp500_Open_RDP7,0.023292595196740633
6,hsi_Open_RDP7,0.023182496820387026
14,hsi_Low_RDP30,0.02302118972275742
31,sp500_High_RDP30,0.02280496379876259
28,sp500_Adj Close_RDP7,0.022391461328566974
8,hsi_Low_RDP7,0.022211519444988094
9,hsi_Close_RDP7,0.02159571111667289
34,sp500_Adj Close_RDP30,0.021592099343010165
13,hsi_High_RDP30,0.021488263688190318
26,sp500_Low_RDP7,0.02141354351877719
16,hsi_Adj Close_RDP30,0.021340937666251204
15,hsi_Close_RDP30,0.0207252875987594
33,sp500_Close_RDP30,0.020638251063275534
32,sp500_Low_RDP30,0.019316046170439582
