,feature,importance
21,sp500_Close_RDP1,0.16772271830705276
22,sp500_Adj Close_RDP1,0.1539627574727411
20,sp500_Low_RDP1,0.08153297547678495
19,sp500_High_RDP1,0.06049260749512262
17,hsi_Volume_RDP30,0.02778842218287555
29,sp500_Volume_RDP7,0.02590793986548929
25,sp500_High_RDP7,0.025836692185757883
2,hsi_Low_RDP1,0.02185777093363418
30,sp500_Open_RDP30,0.02159503757130945
18,sp500_Open_RDP1,0.021343980131789536
3,hsi_Close_RDP1,0.020767918812203204
23,sp500_Volume_RDP1,0.019240748681314698
4,hsi_Adj Close_RDP1,0.019144464767805333
28,sp500_Adj Close_RDP7,0.018495110920737513
27,sp500_Close_RDP7,0.01832069350394648
14,hsi_Low_RDP30,0.017750640033393564
11,hsi_Volume_RDP7,0.017536599167212938
1,hsi_High_RDP1,0.017466865292496355
34,sp500_Adj Close_RDP30,0.015973671972997813
6,hsi_Open_RDP7,0.01573987054422828
10,hsi_Adj Close_RDP7,0.015257338869347286
31,sp500_High_RDP30,0.015199413254205919
7,hsi_High_RDP7,0.014753686330285377
24,sp500_Open_RDP7,0.014693117977090654
16,hsi_Adj Close_RDP30,0.014684363928369006
9,hsi_Close_RDP7,0.014149747678081333
12,hsi_Open_RDP30,0.014124058195930314
35,sp500_Volume_RDP30,0.013957917051370202
32,sp500_Low_RDP30,0.013426209088613607
33,sp500_Close_RDP30,0.013425677732925394
26,sp500_Low_RDP7,0.013101252278194008
0,hsi_Open_RDP1,0.012478939953907775
8,hsi_Low_RDP7,0.011344571248942947
15,hsi_Close_RDP30,0.011125748314135576
13,hsi_High_RDP30,0.010820394532384365
5,hsi_Volume_RDP1,0.008980078247322781
