,feature,importance
21,sp500_Close_RDP1,0.16770719464908898
22,sp500_Adj Close_RDP1,0.15356625708873417
20,sp500_Low_RDP1,0.08139100735075987
19,sp500_High_RDP1,0.06079542486088742
17,hsi_Volume_RDP30,0.02909412057872844
29,sp500_Volume_RDP7,0.025823177862533377
25,sp500_High_RDP7,0.024286693059924116
30,sp500_Open_RDP30,0.02193061354889138
3,hsi_Close_RDP1,0.021499758708752967
2,hsi_Low_RDP1,0.020816979709211633
18,sp500_Open_RDP1,0.020712759383573344
4,hsi_Adj Close_RDP1,0.01948125849709699
23,sp500_Volume_RDP1,0.019107988669195518
1,hsi_High_RDP1,0.017952514740512616
28,sp500_Adj Close_RDP7,0.017739066893511915
34,sp500_Adj Close_RDP30,0.017582962493621235
27,sp500_Close_RDP7,0.017431312931396544
11,hsi_Volume_RDP7,0.017171375782633287
14,hsi_Low_RDP30,0.017135227759616123
16,hsi_Adj Close_RDP30,0.01621155331031655
31,sp500_High_RDP30,0.01537363171695941
7,hsi_High_RDP7,0.01527989409541953
10,hsi_Adj Close_RDP7,0.015058791860765879
24,sp500_Open_RDP7,0.014800057170072468
6,hsi_Open_RDP7,0.014771003678862167
9,hsi_Close_RDP7,0.014291901328961066
35,sp500_Volume_RDP30,0.013841688529446066
32,sp500_Low_RDP30,0.013470507195554477
26,sp500_Low_RDP7,0.013418726654087275
12,hsi_Open_RDP30,0.013333871543971677
0,hsi_Open_RDP1,0.012746112481022307
33,sp500_Close_RDP30,0.012664439063130266
8,hsi_Low_RDP7,0.011803874156475847
15,hsi_Close_RDP30,0.0117922725779577
13,hsi_High_RDP30,0.010147796088704303
5,hsi_Volume_RDP1,0.00976818397962312
